'd	would/should/could/did
the tide's turned in our favor	le vent a tourné en notre faveur
the tides	Les marées
the ties	les liens
the time being	le moment
the vacant lot	le terrain vacant
the very idea	l'idée même
the very idea sends tingles	l'idée même envoie des picotements
the very idea sends tingles down my spine	l'idée même envoie des picotements dans le dos
the whole	la totalité
their envoys	leurs envoyés
their kin	leurs proches
their mind has made up	leur décision est prise
their noses at us	leur nez sur nous
there first thing tomorrow	demain à la première heure
thereby	ainsi
therefore	donc/par conséquant
therefore	donw
they are nesting	ils nichent
they are not monitoring us	ils ne nous surveillent pas
they don't look anything like knights	ils ne ressemblent en rien à des chevaliers
they don't take kindly to questions	ils ne prennent pas gentiment les questions
they have almost	ils ont presque
they must have made off	ils ont dû s'enfuir
they worship	ils vénèrent
think thought thought	penser
thinned	aminci
thinned out	aminci
thirst	la soif
this might be	cela pourrait être
this wouldn't have happened	cela ne serait pas arrivé
thorough	approfondi
thorough	complet
thorough notes	des notes détaillées
though	bien que/mais/même si/cependant/pourtant
thought	pensé
thoughtful	réfléchi
threatened	menacé
thrive	s'épanouir/prospérer
thriving	prospère
through a lot	à travers beaucoup
throughout	tout au long de
thrust	poussée
thrusting my chest out	bomber ma poitrine
thus	ainsi
tide	marée
tidily	proprement
tidy	bien rangé
tidy them up	les ranger
tie	cravate/lien/égalité/attache/attacher/lier/nouer
tied up	attaché
tin	étain
to balls everything up	pour tout bouleverser
to be led	d'être dirigée/d'être conduit
to be lying in wait	être à l'affût
to be passing by	être de passage
to behold	a voir
to channel	pour canaliser
to close up	fermer
to con you	de vous escroquer
to devise	concevoir
to fall completely flat	tomber complètement à plat
to fill	remplir
to fill in	remplir
to gather their kin	rassembler leurs proches
to get off on the right foot	repartir du bon pied
to get your story straight	pour mettre votre histoire au clair
to good use	à bon escient
to grasp	saisir
to make of it	en faire/en penser
to make up for it	Pour compenser/pour se rattraper
to melt you	pour te faire fondre
to monitor	surveiller
to right the	réparer/redresser
to shape up	se mettre en forme
to shrink	rétrécir
to sing along	chanter a ses cotés
to spare	épargner
to stock up	s'approvisionner
to strut	se pavaner
to tears	aux larmes
to the higher ups	aux plus hauts gradés
to the will	à la volonté
to tie up all loose ends	régler tous les problèmes
to undermine	amoindrir
to what do we owe	à quoi devons-nous
to what do we owe the honor today	à quoi devons-nous l'honneur aujourd'hui
to whip up	attiser/fouetter
told yourself	parle pour toi même
topsiders	les supérieurs
tore	déchiré
tore up	déchiré
touch base	base tactile
traffic jam	embouteillage/bouchon
traffic light	feu tricolor/feu de circulation
trail	piste/sentier/chemin
trailblazer	pionnier
trainees	stagiaires
transient	transitoire
transpire	transpirer/apparaître/se produire
transpired in days	s'est passé en jours
treat you	te traiter
trembling	tremblante
tremors	tremblements
tried and true lesson	leçon éprouvée
trifle	broutille/trivial/bagatelles/chose sans importance
trounced	battue
trumped	devancé/dépassé/surclassé
trust	confiance
trust me to find	fais moi confiance pour trouver
twisting and twining itself	se tordant et s'enroulant
twitching	contractions/tremblement
twitching eye	œil qui tremble
underhanded	sournois
underlying	sous-jacent
underneath all that	en dessous de tout ça
uneasy	inquiet/préoccupé/anxieux
unfold	se dérouler/déplier
unlike	contrairement à
unsavory	peu recommandable
unwind	se détendre
up her mind	sa décision
up there	là-haut/là-bas
up to	jusqu'à
up to it	jusqu'à ça/à la hauteur
upon	sur/après/selon/au moment
upon checking	après vérification
upon checking	après vérificationI'd always wanted to be in Sabertooth,
upon me	sur moi
useful later	utile plus tard
useful later down the line	utile plus tard sur toute la ligne
vale	vallée
valley	vallée
vanish	disparaître
vegetable patch	potager
vile	vil/ignoble/horrible/nauséabond
vow	vœu
vow	vœu/jurer
wag	remuer
waiter	serveur
wallow	vautrer/complaire
wander	errer
wander	errer/promener/balade
wanderer	vagabond
wandering around	errant autour
ward	quartier/pupille/service (hopitale)
warehouse	entrepôt
was but	n'était que
watchman	gardien/veilleur/guetteur
watermelon	pasteque
we are off to	nous partons pour
we have been through	nous avons traversé
we have been through a lot	nous avons vécu beaucoup de choses
we have got them on the ropes	~?nous les avons sur les cordes
we just happen to be	il se trouve que nous sommes
we pile up	on empile
we planned	nous avons prévu
we shall	nous allons
we shall journey	nous voyagerons
we will lose out	nous allons y perdre
we wouldn't	nous ne ferions pas
weak-willed	faible de volonté
wearing	porter
went sour	a mal tourné
were sights to behold	étaient des sites à voir
what a klutz	quel maladroit
what a relief	quel soulagement
what are you agonizing over	de quoi souffrez-vous
what are you suffering from	de quoi souffrez-vous
what do you make of it	Qu'est-ce que vous en faites
what does he sell	qu'est-ce qu'il vend
what is to be sung	ce qui doit être chanté
what lies ahead	ce qui nous attend
what the hell went down at	qu'est-ce qui s'est passé chez
what's got into John	qu'est-ce qui cloche chez John
where is he	où est-il
whereas	tandis que
whether	qu'il s'agisse
whether	si/que/qu'il s'agisse
whether the trees	si les arbres
whether to go	s'il faut aller
which is why	c'est pourquoi
which leads to	qui mène à
whirl	tourbillon/tourbilloner
whistling	sifflant
who can't	qui ne peut pas
who can't get	qui ne peut pas obtenir
who can't get to	qui ne peut pas se rendre
who can't get to work	qui ne peut pas se rendre au travail
who can't get to work up	qui ne peut pas se mettre au travail
who can't get to work up top	qui ne peut pas travailler en haut
who's not as strong as whom ?	qui n'est pas aussi fort que qui ?
whole	tout/ensemble/totality/entier/complet-
whuppin	coup de fouet
why bother putting	pourquoi s'embêter à mettre
why bother putting them outside	pourquoi s'embêter à les mettre dehors
why would the likes of a cat	pourquoi les goûts d'un chat
wicked	malfaisant/mauvais/méchant
wide selection	large selection
widely	largement
widens	s'élargit
widespread	généralité/répendu
widespread	répandu
widest possible	plus vaste possible
wield	manier
wielder	porteur
wild mountain fruit	fruits sauvages des montagnes
wilderness	région sauvage
will	volonté
will be pleased	se fera un plaisir
willing	prêt
wind currents	courants de vent
windborne	porté par le vent
windwail	gémissement
winery	vignoble
wink	clin d'oeil
winter	hiver
wipe out	anéantir/effacé
wisdom	sagesse
wisecrack	remarque
wit	esprit
wither	faner/dépérir
within	dans/à l'intérieur
without any worry	sans le moindre soucie
witness	témoin
witness	témoin/témoignage/témoigner
witnesses	les témoins
woe	malheur
wonder	se demander/Émerveillement
wonders	merveilles
wondrous	merveilleuse
wondrous	merveilleux
worn out	usé
worship	culte
worthwhile	digne d'interêt
worthy	digne
worthy of notice	digne d'attention
would	serait/pourrait/ferait/devrait/voudrait
would have	aurait
wound	plaie/blessure/enrouler
wounded	blessés
woven	tissé
wrap	envelopper
wrath	colère
x and whatnot	x et d'autre chose similaire
yarn ball	pelote de laine
yearn	aspirer
yell	crier
yet	encore/pourtant
yogurt pots	les pots de yaourt
yore	autrefois/d'antan/jadis
you are grounded	tu es puni
you can do it	vous pouvez le faire
you could do it	vous pourriez le faire
you deem fit	vous jugez bon
you do end up	tu finis par
you don't look the type	tu n'as pas l'air du genre
you had a bout	tu as eu un combat
you harbor	tu abrites
you hate sour food	vous détestez la nourriture aigre
you have nothing to apologize for	tu n'as rien à te reprocher
you lack	tu manques
you of all people	toi de tous
you shoot your mouths off about how strong you are on a regular basis, don't you ?	Vous vous moquez régulièrement de votre force, n'est-ce pas ?
you tie	tu attaches
you tied	tu as attaché
you will assist me in	vous m'aiderez à
you will not wallow in grief and remorse	tu ne te complaîtras pas dans le chagrin et les remords
you won't witness	tu ne seras pas témoin
your calling	ta vocation
your fall	ta chute
your partner is in a pinch	votre partenaire est dans le pétrin
your way	votre chemin
your while	votre temps
yourself	toi même
yourselves out	sortez
être bridé	to be restrained
